X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
505|L	2602400	100570000	1924000	6770300	169290000	889810
506|L	220790	20476000	1494800	469320	NA	918520
507|L	9272700	162490000	5038800	5415900	353370000	10840000
508|L	1742000	NA	646970	317710	NA	NA
509|L	3106900	NA	NA	6741600	NA	NA
510|L	1942000	44802000	4114200	437530	39265000	2493000
513|L	427760	250950000	NA	852740	369010000	NA
514|L	NA	3536100	NA	NA	12905000	NA
515|L	NA	3536100	NA	NA	12905000	NA
518|L	NA	6599000	NA	1662400	NA	NA
519|L	2350600	NA	NA	NA	NA	NA
520|L	482050	5072700	538500	2325200	NA	50171000
521|L	937260	717340000	19516000	2325200	2333200000	57966000
522|L	NA	28087000	NA	2026600	76260000	NA
523|L	NA	1398800	NA	NA	NA	NA
524|L	NA	34939000	48258	476220	43615000	1698600
525|L	NA	21317000	368460	690470	90870000	6565200
526|L	NA	465780000	798930	1289100	351380000	15693000
527|L	NA	452670000	15085000	1289100	225350000	21061000
528|L	NA	NA	NA	NA	11539000	NA
529|L	NA	42940000	NA	NA	27053000	NA
530|L	NA	72445000	2240900	NA	32484000	NA
531|L	NA	45329000	14437000	NA	74537000	4807900
532|L	NA	45329000	37954000	NA	74537000	4807900
533|L	NA	NA	920680	NA	NA	NA
537|L	NA	NA	NA	NA	24259000	NA
538|L	NA	NA	NA	NA	57155000	NA
539|L	NA	24044000	925940	467900	60153000	NA
540|L	NA	NA	NA	NA	2512300	NA
541|L	NA	NA	NA	NA	771640	NA
542|L	NA	8451900	NA	NA	13202000	NA
543|L	1232000	NA	2502800	NA	2748800	4836300
544|L	NA	13208000	NA	NA	53328000	NA
545|L	NA	13208000	NA	NA	46846000	NA
546|L	NA	NA	NA	NA	74778000	NA
547|L	NA	NA	NA	NA	74778000	NA
549|L	NA	62439000	734160	1015800	47028000	8044400
550|L	NA	NA	NA	NA	NA	5937400
551|L	NA	8475900	NA	NA	346530000	NA
552|L	NA	2960800	NA	NA	NA	NA
553|L	NA	8658500	NA	4301100	2371500	NA
554|L	NA	NA	NA	NA	12827000	NA
556|L	NA	NA	NA	NA	2491500	NA
558|L	81093000	954900000	109090000	70638000	1123400000	155550000
559|L	NA	NA	19517000	NA	NA	NA
560|L	NA	184620000	NA	NA	NA	NA
561|L	17538000	7064800	1339400	NA	57445000	2649400
562|L	2733900	3538300000	51487000	7413800	4.085e+09	17414000
563|L	NA	NA	NA	NA	NA	779650
564|L	NA	17575000	NA	45506	2409500	NA
565|L	364660000	1.5789e+10	481420000	440790000	2.2663e+10	299460000
566|L	NA	19584000	NA	NA	20136000	NA
567|L	NA	16066000	NA	NA	36960000	NA
568|L	2697100	43894000	NA	NA	132880000	NA
569|L	2697100	43894000	NA	NA	132880000	NA
570|L	5195300	139420000	137990	1257900	384580000	3165500
571|L	NA	4928100	NA	NA	26370000	NA
572|L	NA	NA	1008200	NA	NA	NA
573|L	NA	NA	1008200	NA	NA	NA
574|L	NA	786510000	NA	NA	474640000	NA
575|L	NA	8583000	NA	NA	16728000	NA
576|L	NA	1656500	NA	NA	NA	NA
577|L	34038000	435500000	20752000	22597000	1015100000	110500000
578|L	NA	NA	NA	NA	696520	NA
579|L	NA	NA	NA	NA	696520	NA
580|L	2357300	9057500	1864500	2328600	NA	166160
581|L	438850	93135000	288290	186710	19189000	450710
582|L	NA	NA	NA	NA	1065500	NA
583|L	NA	NA	NA	NA	1065500	NA
584|L	NA	NA	NA	NA	3261200	NA
585|L	NA	1439200	NA	NA	1821000	NA
586|L	NA	4202300	NA	NA	62184000	NA
587|L	1751700	2230500	1461400	2496400	NA	2359600
588|L	NA	123300000	NA	939420	313310000	NA
589|L	NA	211670000	NA	939420	352820000	NA
590|L	35669000	1671600000	24522000	7405800	1343600000	65486000
591|L	NA	NA	NA	NA	NA	8751600
592|L	5.4e+07	1499300000	19270000	15806000	1019200000	72576000
593|L	1031900	196550000	NA	NA	1.55e+08	NA
594|L	1031900	147730000	NA	NA	1.55e+08	NA
595|L	2139400	77538000	NA	NA	61097000	NA
596|L	63750000	1729800000	45091000	36738000	2511100000	185940000
597|L	1084600	15877000	2129500	2156300	50947000	326900
600|L	NA	NA	NA	NA	21477000	NA
601|L	NA	NA	NA	NA	21477000	NA
602|L	NA	NA	NA	NA	21477000	NA
603|L	NA	5143200	NA	NA	3154300	NA
604|L	NA	NA	NA	561300	NA	NA
605|L	NA	3155300	NA	NA	2169100	NA
606|L	NA	240040	NA	NA	NA	NA
607|L	NA	NA	NA	NA	5504600	NA
608|L	NA	NA	NA	1375000	20149000	NA
609|L	NA	NA	NA	1375000	20149000	NA
610|L	NA	2851600	NA	NA	NA	NA
612|L	NA	22487000	NA	NA	NA	NA
613|L	1213700	146620000	11543000	26931000	817450000	21337000
614|L	NA	4192500	NA	NA	NA	NA
615|L	NA	33799000	742890	NA	95553000	NA
